"","chr1_47051752","chr1_60171660","chr1_162532502","chr1_225942842","chr1_227125826","chr2_38755298","chr2_64440295","chr2_113885277","chr2_144234430","chr2_232393064","chr3_119499190","chr3_122281939","chr3_122281975","chr4_48136452","chr4_53799391","chr4_100768712","chr4_124180616","chr5_77804381","chr6_31589196","chr6_32294470","chr6_32449961","chr6_32549631","chr6_32711617","chr6_167535764","chr6_167536063","chr6_167536086","chr7_2116368","chr7_2653955","chr8_56903623","chr8_125784769","chr8_145023013","chr9_98771728","chr10_11246628","chr10_63759909","chr10_80757927","chr10_112722440","chr11_46382544","chr11_88090861","chr11_114127960","chr12_6642229","chr12_48147034","chr12_57872123","chr12_123373173","chr13_47373579","chr16_4732369","chr16_12156525","chr16_29674487","chr16_29674972","chr16_50769852","chr16_57023022","chr16_57023191","chr16_67516493","chr16_72041376","chr16_84690554","chr16_88103629","chr19_51876788"
"GSM1051525_7800246024_R01C01",0.426091579594582,0.380003790422996,0.396307437403865,0.393547315099223,0.420697784481653,0.0663615560640732,0.243079127602025,0.224598972183908,0.304039277404011,0.768931424096185,0.341597659061167,0.48946618353179,0.14905521362365,0.821504414351329,0.468819465181711,0.0441965592570362,0.291637420770278,0.244747933565029,0.0677922849135191,0.208159260465739,0.210208779900295,0.132370324322686,0.987316586151878,0.532285566672678,0.690219635817533,0.658142110016438,0.508533901155261,0.398212137853784,0.347174632216019,0.304182942979569,0.232272147411198,0.908127075506783,0.832735450946867,0.933987813134733,0.224920396059561,0.849817311848544,0.110479307384035,0.148095895710614,0.725787795766743,0.0904151383420889,0.399806621368415,0.277697245806585,0.217992870521419,0.246117404139471,0.883412906206684,0.283242340874855,0.0233421563302362,0.03872230710466,0.124112068825191,0.18043510490987,0.111871554021415,0.110119330531514,0.411278301961925,0.933361464554661,0.925186549084214,0.594979610491572
"GSM1051526_7800246024_R02C01",0.398876966485496,0.426041627531219,0.372636311536497,0.289339773921022,0.385829776407486,0.0839325710244017,0.24044199250603,0.193255780113465,0.302498083929211,0.802627694470047,0.346432467256464,0.805626550151562,0.513265754640609,0.761339659089551,0.441956975271123,0.0572014338192904,0.475987148740917,0.231696426039587,0.0830760438902328,0.203234930801101,0.0755970191630666,0.446388847760077,0.96965053686147,0.621687071710301,0.738847061467581,0.675135064393976,0.463269320612071,0.331730869365661,0.359584076067017,0.255668978648489,0.246066779194379,0.927367763522998,0.788512994350083,0.957168089490727,0.271252475047234,0.882735964378081,0.0897012164774584,0.133427005094038,0.73870178205885,0.119990691096281,0.387950603751465,0.255829697607943,0.176610841400707,0.261025635594445,0.91470001459783,0.254700636087858,0.0226120158104674,0.0340715502555366,0.126655923208332,0.316755660751123,0.106268368901801,0.0927073699040837,0.332120523790755,0.951176957653182,0.905341391702058,0.589976673996281
"GSM1051527_7800246024_R03C01",0.270480200628588,0.187807605108692,0.243313008703222,0.138728951959434,0.237834769762301,0.0567393157189821,0.123182084207537,0.120473341870382,0.183296523182261,0.792899699764004,0.222187526567333,0.811806533090448,0.452765154526513,0.907325826847807,0.413090908294758,0.0820349423922966,0.288645120938983,0.102068982633826,0.0640171685030441,0.231928659019055,0.488067859542955,0.567698579118809,0.6644417659893,0.725086312231733,0.79661215867303,0.722339481453814,0.332377293634998,0.21204402459966,0.395461185918019,0.165550534759755,0.155400495073384,0.925997915650497,0.765499683524615,0.940672706962889,0.206699182603182,0.90814885265423,0.066797263907215,0.065453637241689,0.794331649296671,0.0714020237192674,0.265299503112615,0.309101412993765,0.122061181881449,0.16355892709774,0.910590611773759,0.132947433574548,0.0249488407937562,0.041545035325972,0.0898362936996384,0.452004593731189,0.159766385782602,0.116141338417832,0.23780042698662,0.964159049623713,0.915359615656352,0.608140101202978
"GSM1051528_7800246024_R04C01",0.366943065726382,0.276669873385502,0.380747482140168,0.297631768928343,0.346472706455956,0.101824817518248,0.23161100357236,0.181921246295189,0.308073102778365,0.81359613274851,0.329260008369719,0.754495969497671,0.411593592843462,0.813945633505357,0.455047109458353,0.0632760519246353,0.346518004805009,0.20930669394834,0.0759557901745553,0.181613983682743,0.562153861021818,0.511989575707777,0.965659454437759,0.670103634390285,0.783742396528989,0.776916549291916,0.453286565172556,0.337535730146913,0.40721455531046,0.272755475425405,0.223771007801627,0.928092246255058,0.810310524161009,0.932571131609718,0.242778687737981,0.918679900615339,0.0639308137574721,0.134820720639144,0.757869253098502,0.0923171831688019,0.373998808918611,0.286138483773486,0.202617019954,0.275665505173779,0.913188220230474,0.227827493655723,0.0194254206570116,0.0541751708226107,0.10752626815028,0.169099206641219,0.0929200013386924,0.0826663488718113,0.397527812212246,0.965624200562804,0.916197623514697,0.642713967280933
"GSM1051529_7800246024_R05C01",0.492703692688365,0.39108302754508,0.465561636929359,0.393723439910791,0.428044276789322,0.071121876032148,0.296029789503127,0.246297561398338,0.409857342158055,0.83063844239665,0.40637790709784,0.839253348983122,0.564767213348588,0.748301509200195,0.478988760781886,0.0837264584085279,0.458381390791605,0.2504305953132,0.0891455664643149,0.266958206793241,0.510002947556467,0.412550349556737,0.971353695237658,0.588906565478818,0.715184059916625,0.693373084454302,0.517915353494599,0.416471822380033,0.439753992993162,0.355246872367091,0.286587558314772,0.908878567104052,0.833132366221288,0.940588853838065,0.307048481755536,0.904825020239687,0.129986296931357,0.1662360432123,0.758753980676966,0.154201735949737,0.442928443156414,0.271239852770635,0.214637164491323,0.317887200965938,0.831068900320978,0.318109466567916,0.0361712199088245,0.0355691056910569,0.16680340144022,0.238392520128174,0.0911408620786684,0.105756426231925,0.514594422318286,0.948823611304469,0.890282131661442,0.609361973976132
"GSM1051530_7800246024_R06C01",0.39849862596114,0.341415583571372,0.381640595874164,0.258283451706765,0.342599638092368,0.0933232169954476,0.17833729796598,0.111219209713064,0.357360575535592,0.756498027395441,0.301694742945009,0.890538290273025,0.526787867920846,0.907243886728217,0.464512190349896,0.0676962929153054,0.407327383366621,0.195456872916521,0.0650120697962732,0.173958313689615,0.114034789471909,0.149129731437647,0.976597585077837,0.701896123185861,0.829282663131536,0.809812148236238,0.492034131414874,0.330590601434442,0.481831087336468,0.19936978628406,0.181135657091535,0.949854478847875,0.892442223601902,0.953910849453322,0.291265458796791,0.915465170247991,0.0660586755218227,0.175858501313024,0.823724927869493,0.0469095378869562,0.412901769149831,0.237500669846203,0.104210702902198,0.251971297315498,0.970203401926966,0.178865798857251,0.0180180120509125,0.0327026626488169,0.0987160086141758,0.506644823607311,0.233535024361636,0.113316357436424,0.440973267325003,0.962396838312217,0.948541897379107,0.681071811841993
"GSM1051531_7800246024_R01C02",0.296500170579029,0.228508851962815,0.267346541380087,0.186263567499583,0.230511805558753,0.0470570880660864,0.140833281373616,0.12482306670094,0.178605398816497,0.757732770428358,0.227470851155999,0.818559152059637,0.478458327070194,0.930799197273287,0.397062760480673,0.0593574103224063,0.229456215076233,0.137934321349095,0.0546712566226247,0.214708788687569,0.761568917295764,0.61388591313751,0.78873034455701,0.677995672023031,0.808583004051418,0.728107084058314,0.364778308482824,0.232272518982389,0.353597732302332,0.167349009004902,0.179415501110566,0.929037195145779,0.813094053658302,0.943086529884032,0.204625734682843,0.880119562797047,0.050582201304488,0.075667197753035,0.738724124492824,0.0583185042497817,0.260275891815934,0.29083111162629,0.167478495180848,0.133642478639289,0.899778747832327,0.171531030491723,0.0221431211013878,0.0317702042745366,0.0634458729030376,0.312467091320879,0.130230030011983,0.0861410495144237,0.271103649282687,0.957905095123551,0.921430078042607,0.595601844334267
"GSM1051532_7800246024_R02C02",0.362071881979549,0.19888399362068,0.31307459724573,0.232578614905056,0.311637236292328,0.0735009671179884,0.184897136327514,0.14811768728776,0.253658634009171,0.784136831076631,0.27196277051155,0.805934866858965,0.571467538245191,0.832851264377436,0.453680024150887,0.103254864069562,0.359208672415218,0.198660689976228,0.0576560546618159,0.228335656565459,0.500228402859247,0.595302278459928,0.965513030725664,0.661506761185971,0.760091587516961,0.732802331403011,0.407249433875676,0.271153633793196,0.43607697987908,0.232257345422787,0.174386210038242,0.924738467164473,0.786183252320994,0.942636597548055,0.244991533174119,0.879249276557998,0.0762932300028977,0.114767381533054,0.747084423319014,0.0683937913192233,0.280688172517344,0.28727531005846,0.158530596208624,0.158964044220718,0.833242614676629,0.19041504444352,0.0226845346127501,0.0417646457417442,0.0767848042593379,0.43958072709967,0.145065838336919,0.109181127782329,0.307785141998758,0.952300876370339,0.908795646067416,0.617127629058495
"GSM1051533_7800246024_R03C02",0.499324928141882,0.390550192872743,0.414531336289133,0.337642938356894,0.396757641910133,0.0640981929764746,0.230693933988775,0.269609571529007,0.298199371295001,0.769836123685641,0.399302887193933,0.888384004267624,0.587080755340909,0.702090645092646,0.406061263876442,0.0793419343511671,0.447307883094027,0.273793188887523,0.0740957248572668,0.29718931484216,0.582342815652829,0.527178391419802,0.760270047603993,0.537527066318173,0.635360129089042,0.621129764090329,0.588153902676153,0.385861402391132,0.357025922415239,0.336078813452546,0.271916670650518,0.880039552463758,0.720854394450243,0.91841712969237,0.279128694200414,0.798977582865027,0.0798391695253097,0.121867112065736,0.731246177705389,0.117819401728215,0.422200294403317,0.251147395065506,0.223686688006025,0.331053426255372,0.889386056191467,0.306562752007403,0.028713798085986,0.0654170571696345,0.115394340698782,0.563982192001278,0.235606844249042,0.0907640457355268,0.462247264623961,0.961605528287264,0.867909987669544,0.636449839485266
"GSM1051534_7800246024_R04C02",0.414274028661194,0.362619844619797,0.367733974233524,0.291695347938335,0.36826925591762,0.0669556840077071,0.278684330647807,0.219114414303296,0.349819513388792,0.792780144346948,0.311536268282443,0.835742213199459,0.485154990236785,0.744662898109991,0.411933418669182,0.0821077664643366,0.412331618700661,0.202778308047812,0.0838847913257823,0.267053282712826,0.736578360280194,0.995520351506009,0.990020919056111,0.665907734013638,0.751127819548872,0.757720938692183,0.461038967337987,0.333344631657913,0.351204317924431,0.286279501861528,0.236589077777723,0.880750619516043,0.833428096291875,0.910835762876579,0.275249247858542,0.882642511733677,0.117716166170915,0.158318811282892,0.808584001688455,0.129496876759247,0.361765251440943,0.252164041436072,0.0891830870279146,0.305956665151995,0.867101680593372,0.258522300546979,0.028686812267121,0.0487305487305487,0.158242383703528,0.382006646233776,0.161230371889146,0.137131071722709,0.372305092560809,0.963156892612338,0.875432525951557,0.638741941807656
